id,debt,severity
1,30,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
1,20,BLOCKER
2,30,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
2,20,BLOCKER
3,30,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
3,20,BLOCKER
4,30,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
4,20,BLOCKER
