key,project,value,severity
710,3,286,MAJOR
710,4,386,MAJOR
710,5,411,MAJOR
710,6,699,MAJOR
710,7,697,MAJOR
710,8,698,MAJOR
710,9,681,MAJOR
710,10,43,MAJOR
710,11,38,MAJOR
756,1,2,MAJOR
756,2,2,MAJOR
756,3,2,MAJOR
756,4,2,MAJOR
756,5,2,MAJOR
756,6,2,MAJOR
756,7,2,MAJOR
756,8,2,MAJOR
756,9,0,MAJOR
756,10,0,MAJOR
756,11,0,MAJOR
423,1,82,MAJOR
423,2,82,MAJOR
423,3,91,MAJOR
423,4,173,MAJOR
423,5,147,MAJOR
423,6,208,MAJOR
423,7,211,MAJOR
423,8,212,MAJOR
423,9,212,MAJOR
423,10,240,MAJOR
423,11,245,MAJOR
790,1,40,MAJOR
790,2,40,MAJOR
790,3,83,MAJOR
790,4,101,MAJOR
790,5,101,MAJOR
790,6,114,MAJOR
790,7,110,MAJOR
790,8,108,MAJOR
790,9,119,MAJOR
790,10,126,MAJOR
790,11,125,MAJOR
837,1,2,INFO
837,2,2,INFO
837,3,4,INFO
837,4,5,INFO
837,5,5,INFO
837,6,10,INFO
837,7,10,INFO
837,8,10,INFO
837,9,10,INFO
837,10,8,INFO
837,11,8,INFO
779,1,1,MAJOR
779,2,6,MAJOR
779,3,6,MAJOR
779,4,7,MAJOR
779,5,7,MAJOR
779,6,0,MAJOR
779,7,0,MAJOR
779,8,0,MAJOR
779,9,0,MAJOR
779,10,0,MAJOR
779,11,0,MAJOR
758,1,22,MAJOR
758,2,22,MAJOR
758,3,25,MAJOR
758,4,45,MAJOR
758,5,46,MAJOR
758,6,55,MAJOR
758,7,56,MAJOR
758,8,56,MAJOR
758,9,54,MAJOR
758,10,54,MAJOR
758,11,54,MAJOR
746,1,37,BLOCKER
746,2,37,BLOCKER
746,3,36,BLOCKER
746,4,51,BLOCKER
746,5,37,BLOCKER
746,6,45,BLOCKER
746,7,38,BLOCKER
746,8,40,BLOCKER
746,9,37,BLOCKER
746,10,38,BLOCKER
746,11,38,BLOCKER
683,1,164,MAJOR
683,2,164,MAJOR
683,3,255,MAJOR
683,4,308,MAJOR
683,5,315,MAJOR
683,6,402,MAJOR
683,7,390,MAJOR
683,8,392,MAJOR
683,9,353,MAJOR
683,10,403,MAJOR
683,11,404,MAJOR
653,1,1,MAJOR
653,2,1,MAJOR
653,3,1,MAJOR
653,4,0,MAJOR
653,5,0,MAJOR
653,6,0,MAJOR
653,7,0,MAJOR
653,8,0,MAJOR
653,9,0,MAJOR
653,10,0,MAJOR
653,11,0,MAJOR
804,1,37,MAJOR
804,2,37,MAJOR
804,3,29,MAJOR
804,4,31,MAJOR
804,5,31,MAJOR
804,6,34,MAJOR
804,7,34,MAJOR
804,8,34,MAJOR
804,9,34,MAJOR
804,10,33,MAJOR
804,11,34,MAJOR
761,1,14,MAJOR
761,2,14,MAJOR
761,3,18,MAJOR
761,4,34,MAJOR
761,5,31,MAJOR
761,6,56,MAJOR
761,7,65,MAJOR
761,8,65,MAJOR
761,9,66,MAJOR
761,10,76,MAJOR
761,11,81,MAJOR
803,1,18,MAJOR
803,2,18,MAJOR
803,3,18,MAJOR
803,4,18,MAJOR
803,5,18,MAJOR
803,6,18,MAJOR
803,7,19,MAJOR
803,8,19,MAJOR
803,9,19,MAJOR
803,10,19,MAJOR
803,11,19,MAJOR
679,1,1,MAJOR
679,2,1,MAJOR
679,3,1,MAJOR
679,4,1,MAJOR
679,5,1,MAJOR
679,6,1,MAJOR
679,7,2,MAJOR
679,8,2,MAJOR
679,9,1,MAJOR
679,10,2,MAJOR
679,11,0,MAJOR
744,1,2,MAJOR
744,2,2,MAJOR
744,3,1,MAJOR
744,4,1,MAJOR
744,5,1,MAJOR
744,6,1,MAJOR
744,7,1,MAJOR
744,8,1,MAJOR
744,9,1,MAJOR
744,10,1,MAJOR
744,11,0,MAJOR
647,1,13,CRITICAL
647,2,13,CRITICAL
647,3,13,CRITICAL
647,4,13,CRITICAL
647,5,13,CRITICAL
647,6,13,CRITICAL
647,7,12,CRITICAL
647,8,12,CRITICAL
647,9,12,CRITICAL
647,10,12,CRITICAL
647,11,12,CRITICAL
699,1,12,MAJOR
699,2,12,MAJOR
699,3,96,MAJOR
